"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72530094846","2020-05-10T00:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28","54",,,"+0.05","8","37","29.99",,"29.28","9.94","43","210",,"14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN08072530 32966 82112 10122 21022 39917 40155 58017 90551 333 10150 21005 555 91006=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T00:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.96","31","55","0.00",,,,"40","29.96","SCT:04 130 OVC:08 250","29.24","10.00","44","210","29","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET12805/10/20 00:51:02 METAR KORD 100651Z 21015G25KT 10SM SCT130 OVC250 13/M01 A2996 RMK AO2 PK WND 21028/0633 SLP147 T01281006 (EPA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T01:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.94","33","53","0.00",,,,"47","29.94","FEW:02 80 BKN:07 100 OVC:08 180","29.22","10.00","44","220",,"16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13105/10/20 01:51:02 METAR KORD 100751Z 22014KT 10SM FEW080 BKN100 OVC180 12/01 A2994 RMK AO2 PK WND 20026/0653 SLP139 T01170006 (EPA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T02:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","35","52","0.00",,"+0.06","6","53","29.93","BKN:07 90 OVC:08 150","29.21","10.00","44","220","20","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11505/10/20 02:51:02 METAR KORD 100851Z 22010G17KT 10SM BKN090 OVC150 11/02 A2993 RMK AO2 SLP136 T01110017 56019 (EPA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T03:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.93","38","52","T",,,,"59","29.93","BKN:07 46 OVC:08 85","29.21","10.00","45","230",,"9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET10605/10/20 03:51:02 METAR KORD 100951Z 23008KT 10SM BKN046 OVC085 11/03 A2993 RMK AO2 SLP136 T01110033 (EPA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T04:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.92","40","51","T",,,,"66","29.92","FEW:02 37 BKN:07 70 OVC:08 120","29.20","10.00","46","250","22","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET13305/10/20 04:51:02 METAR KORD 101051Z 25010G19KT 10SM FEW037 BKN070 OVC120 11/04 A2992 RMK AO2 RAB0958E12 SLP132 P0000 T01060044 (EPA)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T05:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.92","41","50","T","-RA:02 |RA |RA","+0.01","8","71","29.92","FEW:02 37 BKN:07 55 OVC:08 90","29.20","10.00","46","230",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET15205/10/20 05:51:02 METAR KORD 101151Z 23009KT 10SM -RA FEW037 BKN055 OVC090 10/05 A2992 RMK AO2 RAB24 SLP131 P0000 60000 T01000050 10128 20100 58004 (JR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T06:00:00","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41","50",,"||RA","+0.01","8","71","29.92","41","29.22","9.94","46","230",,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SYN09272530 11666 82309 10100 20050 39894 40131 58004 69901 761// 91151 333 10150 20100 555 91012=","FM-12","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T06:51:00","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.92","42","50","0.00",,,,"74","29.92","BKN:07 38 BKN:07 80","29.20","10.00","46","230",,"7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11905/10/20 06:51:02 METAR KORD 101251Z 23006KT 10SM BKN038 BKN080 10/06 A2992 RMK AO2 RAE1158 SLP131 P0000 T01000056 (JR)","FM-15","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"72530094846","2020-05-10T07:46:00","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.91","43","48","0.02","RA:02 |RA |RA",,,"82",,"FEW:02 15 BKN:07 28 OVC:08 36","29.19","4.00","46","250","25","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MET11205/10/20 07:46:02 SPECI KORD 101346Z 25014G22KT 4SM RA FEW015 BKN028 OVC036 09/06 A2991 RMK AO2 RAB35 P0002 (JR)","FM-16","7",,,,,,,,,,,,,,,,,,,,,,,,,,,,
